Disease Name,Type,Category,Overview,Causes,Specialist,Treatment/ Home Remedies,,,,,,,,,,,,,,,,,,
Lymphoma,Lymphatic System Cancer,Non-Communicable,Cancer of lymphocytes affecting lymph nodes and other organs,"Genetic mutations, immune system dysfunction, infections (e.g., EBV)",Hematologist,"Chemotherapy, radiation, immunotherapy, refer to oncology specialist",,,,,,,,,,,,,,,,,,
Bone Cancer (Osteosarcoma),Cancer,Non-Communicable,"Malignant tumor originating in bone cells, mainly affecting children and young adults","Genetic mutations, previous radiation exposure",Oncologist,"Surgery, chemotherapy, sometimes radiation therapy, oncology consultation essential",,,,,,,,,,,,,,,,,,
Colon Cancer (Colorectal Cancer),Cancer,Non-Communicable,"Malignant tumor of the colon or rectum, often asymptomatic early and detected by screening","Diet, genetics, inflammatory bowel disease, lifestyle factors",Oncologist,"Surgery, chemotherapy, radiation, screening and early diagnosis critical, Consult oncologist",,,,,,,,,,,,,,,,,,
Scrub Typhus (severe form),"Communicable, Bacterial, Vector-borne",Non-Communicable,Severe infection by Orientia tsutsugamushi via mite bites,Bite of infected chigger mites in endemic areas,Infectious Disease Specialist,"antibiotics medication, consult doctor immediately if symptoms present in endemic areas",,,,,,,,,,,,,,,,,,
Cutaneous Leishmaniasis,Parasitic,Non-Communicable,Caused by Leishmania parasites via sandfly bite resulting in skin infection,"Transmission by bite of infected sandflies, mainly in tropical regions",Dermatologist,"Consult doctor immediately, Antiparasitic therapy, wound care, Seek medical evaluation for diagnosis and treatment",,,,,,,,,,,,,,,,,,
Chronic Obstructive Pulmonary Disease (COPD),Pulmonary,Non-Communicable,Progressive lung disease mainly caused by smoking leading to airflow obstruction,"Smoking, air pollution, occupational hazards",Pulmonologist,"Smoking cessation, bronchodilators, steroids, oxygen therapy, pulmonary rehabilitation, Consult pulmonologist for specialized care",,,,,,,,,,,,,,,,,,
RA-Associated Interstitial Lung Disease (RA-ILD),"Pulmonary, Autoimmune",Non-Communicable,Fibrosis of lung tissue associated with rheumatoid arthritis causing impaired oxygen exchange,Rheumatoid arthritis autoimmune inflammation,Pulmonologist,"Immunosuppressive medications, antifibrotics, monitor lung function, Rheumatologist consultation required",,,,,,,,,,,,,,,,,,
Endometriosis,"Gynecological, Hormonal",Non-Communicable,Growth of uterine tissue outside the uterus causing pain and reproductive issues,"Unknown exact cause, hormonal and immune factors suspected",Gynecologist,"Pain medication, hormonal therapy, surgery to remove lesions, Consult gynecologist for management",,,,,,,,,,,,,,,,,,
Migraine,"Neurological, Chronic Pain",Non-Communicable,Neurological disorder with recurrent intense headaches often accompanied by sensory sensitivities,Genetic and environmental triggers,Neurologist,"Pain relievers, triptans, prophylactic medications, Neurology consultation for frequent/severe cases",,,,,,,,,,,,,,,,,,
Epistaxis (frequent/severe nosebleeds),ENT,Non-Communicable,"Nose bleeding from damaged blood vessels in nasal mucosa, can be caused by trauma, dryness, or underlying conditions","Trauma, dry air, hypertension, blood disorders, medications",ENT Specialist,"Local pressure, cauterization, nasal packing, treat underlying cause, Seek medical care if recurrent or severe",,,,,,,,,,,,,,,,,,
Peptic Ulcer Disease,Gastrointestinal Disease,Non-communicable,Peptic ulcers are sores that develop on the inner lining of the stomach or small intestine,"Helicobacter pylori infection, long-term NSAID use, smoking, alcohol",Gastroenterologist,"Avoid spicy foods, caffeine, and alcohol. Eat smaller meals, reduce stress, and drink plenty of water. Antacids may help temporarily, Consult a doctor if pain persists.",,,,,,,,,,,,,,,,,,
Gallstones (Cholelithiasis),Gastrointestinal Disease,Non-Communicable,Gallstones are hardened deposits of digestive fluid that form in the gallbladder,"Excess cholesterol in bile, obesity, rapid weight loss, genetics",Gastroenterologist,"Pain management, dietary changes, surgical removal of gallbladder",,,,,,,,,,,,,,,,,,
Hepatic Encephalopathy,"Hepatic, Metabolic",Non-Communicable,Brain dysfunction caused by liver failure or severe liver disease leading to buildup of toxins in the bloodstream,"Liver cirrhosis, hepatitis, liver failure",Gastroenterologist,"Treat underlying liver disease, lactulose, antibiotics to reduce ammonia, Hospital care usually needed",,,,,,,,,,,,,,,,,,
Appendicitis,Gastrointestinal Disease,Non-communicable,"Appendicitis is inflammation of the appendix, often causing severe abdominal pain and requiring urgent treatment","Blockage of appendix by stool, infection, or swelling of lymphoid tissue",General Surgeon,"Severe abdominal pain may indicate appendicitis, Avoid eating solid food and seek immediate medical attention.",,,,,,,,,,,,,,,,,,
Gastritis (non-ulcer dyspepsia),Gastrointestinal,Non-Communicable,Inflammation of stomach lining not caused by ulcers,"Infection (H. pylori), irritants, stress",Gastroenterologist,"Avoid irritants, antacids, H. pylori eradication if present, Consult doctor if symptoms persist",,,,,,,,,,,,,,,,,,
Urinary Tract Infection (UTI),Bacterial,Non-Communicable,"Infection of urinary tract usually caused by bacteria, commonly E. coli","Bacterial entry via urethra, catheter use, sexual activity",Urologist,"Antibiotics tailored to causative organism, Drink fluids, avoid irritants, Consult doctor if symptoms worsen or recur",,,,,,,,,,,,,,,,,,
Otitis Media (Ear infection),Bacterial or viral,Non-Communicable,"Infection of middle ear often caused by bacteria or viruses, common in children","Upper respiratory infections, allergy, anatomical factors",ENT Specialist,"Pain relief, antibiotics if bacterial, sometimes surgery (ear tubes), Consult pediatrician for children or persistent symptoms",,,,,,,,,,,,,,,,,,
Psoriasis,Skin Disease,Non-Communicable,Psoriasis is a chronic autoimmune skin disease that causes rapid skin cell buildup,"Immune system dysfunction, genetics, infections, stress",Dermatologist,"Keep skin moisturized, avoid harsh soaps, reduce stress, get moderate sunlight exposure, and maintain good skin hygiene",,,,,,,,,,,,,,,,,,
Acne Vulgaris,Skin Disease,Non-Communicable,Acne is a skin condition caused by blocked hair follicles with oil and dead skin cells,"Hormonal changes, excess oil production, bacteria",Dermatologist,"Wash face twice daily, avoid oily cosmetics, drink plenty of water, eat a balanced diet, and avoid touching or squeezing pimples",,,,,,,,,,,,,,,,,,
Dermatitis / Eczema,"Dermatological, Inflammatory",Non-Communicable,Chronic inflammatory skin condition with various triggers including allergies and irritants,"Genetic predisposition, immune dysregulation, environmental triggers",Dermatologist,"Moisturizers, topical steroids, avoiding trigger, Consult dermatologist for severe cases",,,,,,,,,,,,,,,,,,
Ankylosing Spondylitis,"Autoimmune, Musculoskeletal",Non-Communicable,"Chronic inflammatory arthritis affecting the spine and sacroiliac joints, causing fusion of vertebrae","Genetic predisposition (HLA-B27), immune dysregulation",Rheumatologist,"Treatment includes physical therapy, Rheumatologist care necessary for disease management",,,,,,,,,,,,,,,,,,
Glaucoma,Eye Disease,Non-Communicable,"Glaucoma is a group of eye conditions that damage the optic nerve, often due to high eye pressure","Increased intraocular pressure, genetics, aging",Ophthalmologist,"Protect eyes from strain, maintain regular eye checkups, avoid smoking, and eat foods rich in vitamin A and antioxidants, Medical treatment is usually required",,,,,,,,,,,,,,,,,,
Cataract,Eye Disease,Non-Communicable,"Cataracts occur when the eye's lens becomes cloudy, leading to decreased vision","Aging, diabetes, smoking, prolonged UV exposure",Ophthalmologist,"Wear UV-protective sunglasses, maintain good blood sugar control, eat antioxidant-rich foods like carrots, leafy greens,Vision worsening should be evaluated by an eye doctor",,,,,,,,,,,,,,,,,,
Osteoporosis,Bone Disease,Non-Communicable,Osteoporosis weakens bones and makes them more likely to fracture,"Aging, hormonal changes, calcium deficiency, lack of exercise",Orthopedic Specialist,"Increase calcium and vitamin D intake, do weight-bearing exercises, avoid smoking/alcohol, and maintain a balanced diet",,,,,,,,,,,,,,,,,,
Osteoarthritis,Joint Disease,Non-Communicable,Osteoarthritis occurs when cartilage in joints breaks down over time,"Aging, joint injury, obesity, genetics",Rheumatologist,"Gentle exercise, hot or cold compress, maintain healthy weight, and do stretching exercises to reduce stiffness",,,,,,,,,,,,,,,,,,
Rheumatoid Arthritis,Autoimmune Disease,Non-Communicable,Rheumatoid arthritis is an autoimmune disease causing chronic inflammation of joints,"Immune system attacking joint tissues, genetics, environmental factors",Rheumatologist,"Rest inflamed joints, apply warm compress, perform gentle exercises, and follow an anti-inflammatory diet rich in omega-3 foods",,,,,,,,,,,,,,,,,,
Depression,Mental Health Disorder,Non-Communicable,"Depression is a mental health condition that affects mood, thoughts, and daily functioning","Genetic factors, stress, brain chemical imbalance",Psychiatrist,"Maintain regular sleep schedule, exercise regularly, talk to friends and family, practice relaxation techniques like meditation, and seek professional help if symptoms persist",,,,,,,,,,,,,,,,,,
Anxiety Disorder,Mental Health Disorder,Non-Communicable,Anxiety disorders involve persistent and excessive fear or worry affecting daily life,"Stress, genetics, brain chemistry imbalance",Psychiatrist,"Practice deep breathing, meditation, and relaxation exercises, maintain healthy sleep habits, limit caffeine intake, and engage in physical activity",,,,,,,,,,,,,,,,,,
Sleep Apnea,Sleep Disorder,Non-Communicable,Sleep apnea is a sleep disorder where breathing repeatedly stops and starts during sleep,"Obesity, airway obstruction, enlarged tonsils",Pulmonologist,"Maintain healthy weight, avoid alcohol before sleep, sleep on your side, keep regular sleep schedule, and consult a doctor if breathing pauses continue",,,,,,,,,,,,,,,,,,
Kidney Stones,Urinary Disease,Non-Communicable,Kidney stones are hard mineral deposits that form in the kidneys and cause severe pain,"Dehydration, high salt intake, genetics",Urologist,"Drink plenty of water, reduce salt intake, avoid excessive oxalate-rich foods like spinach, chocolate, and stay physically active, Seek medical help if severe pain occurs",,,,,,,,,,,,,,,,,,
Hypothyroidism,Endocrine Disorder,Non-Communicable,"Hypothyroidism occurs when the thyroid gland does not produce enough thyroid hormones, slowing body metabolism","Autoimmune disease (Hashimoto’s), iodine deficiency, thyroid surgery, certain medications",Endocrinologist,"Maintain balanced diet with iodine-rich foods, regular exercise, adequate sleep, Consult a doctor for hormone evaluation if symptoms persist",,,,,,,,,,,,,,,,,,
Irritable Bowel Syndrome (IBS),Gastrointestinal Disorder,Non-Communicable,IBS is a digestive disorder affecting bowel movements and causing discomfort without structural damage to the intestine,"Stress, gut-brain interaction issues, diet triggers, infections",Gastroenterologist,"Eat high-fiber foods, reduce stress, avoid trigger foods, drink plenty of water, maintain regular meals",,,,,,,,,,,,,,,,,,
Varicocele,Male Reproductive Disorder,Non-Communicable,Varicocele is enlargement of veins within the scrotum that may affect sperm production,"Faulty vein valves, poor blood circulation",Urologist,"Wear supportive underwear, avoid heavy lifting, apply cold compress for discomfort, consult doctor if pain persists",,,,,,,,,,,,,,,,,,
Fibromyalgia,Musculoskeletal Disorder,Non-Communicable,Fibromyalgia is a chronic disorder characterized by widespread musculoskeletal pain and fatigue,"Abnormal pain processing in brain, genetics, stress, infections",Rheumatologist,"Gentle exercise, stress management, regular sleep routine, yoga or stretching exercises",,,,,,,,,,,,,,,,,,
Vertigo,Neurological,Non-Communicable,Vertigo is a sensation of spinning or dizziness often related to inner ear problems,"Inner ear disorders, infections, head injury, vestibular nerve issues",Neurologist,"Rest, avoid sudden head movements, stay hydrated, perform balance exercises, Seek medical advice if episodes persist",,,,,,,,,,,,,,,,,,
GERD / Acid Reflux,Gastrointestinal,Non-Communicable,Chronic digestive disease where stomach acid flows back into the esophagus,"Weak lower esophageal sphincter, obesity, smoking, pregnancy",Gastroenterologist,"Antacids, H2 blockers, smaller meals, avoid lying down after eating",,,,,,,,,,,,,,,,,,
Hemorrhoids (Piles),Gastrointestinal,Non-Communicable,Hemorrhoids are swollen veins in the lower rectum or anus causing discomfort and bleeding,"Straining during bowel movements, constipation, pregnancy, prolonged sitting",Gastroenterologist,"Eat high-fiber foods, drink plenty of water, warm sitz baths, avoid prolonged sitting",,,,,,,,,,,,,,,,,,
Frozen Shoulder ,Musculoskeletal Disorder,Non-Communicable,Frozen shoulder is a condition where shoulder joint becomes stiff and painful due to inflammation and scar tissue,"Injury, diabetes, prolonged immobility, inflammation of joint capsule",Orthopedic Specialist,"Gentle stretching exercises, apply warm compress, physiotherapy exercises, maintain shoulder mobility",,,,,,,,,,,,,,,,,,
Allergic Rhinitis (Hay Fever),Allergic (Immune),Non-Communicable,An allergic response to outdoor or indoor allergens.,"Pollen, dust mites, pet dander, mold, or smoke",Allergist / Immunologist,"Avoid allergens, antihistamines, nasal steroid sprays, saline rinses",,,,,,,,,,,,,,,,,,
Constipation,Gastrointestinal,Non-Communicable,A condition where bowel movements are difficult or happen less often,"Low fiber diet, dehydration, lack of exercise, delaying bowel movements",Gastroenterologist,"High-fiber diet, increased water intake, regular exercise, stool softeners",,,,,,,,,,,,,,,,,,
Low Back Pain,Musculoskeletal ,Non-Communicable,Pain or discomfort in the lumbar region of the spine,"Muscle strain, ligament sprain, herniated disc, poor posture",Orthopedist / Physiotherapist,"Rest, heat/ice therapy, stretching, physical therapy, OTC pain relievers",,,,,,,,,,,,,,,,,,
Insomnia,Neurological / Psychiatric,Non-Communicable,A common sleep disorder that makes it hard to fall or stay asleep,"Stress, irregular sleep schedule, caffeine, anxiety, or medications",Somnologist (Sleep Specialist),"Sleep hygiene, cognitive behavioral therapy, stress reduction, melatonin",,,,,,,,,,,,,,,,,,
Kidney Stones,Metabolic (Urinary),Non-Communicable,Hard deposits made of minerals and salts that form inside kidneys,"Dehydration, diet high in protein/salt/sugar, obesity, genetics",Urologist,"Drinking plenty of water, pain medication",,,,,,,,,,,,,,,,,,
Dental Cavities,Dental / Bacterial,Non-Communicable,Permanently damaged areas in the hard surface of teeth that develop into holes,"Plaque buildup, sugary snacks, poor oral hygiene, bacteria (S. mutans)",Dentist,"Fluoride treatments, fillings, crowns, root canals, regular brushing",,,,,,,,,,,,,,,,,,
Obesity,Metabolic,Non-Communicable,A complex disease involving an excessive amount of body fat,"Caloric imbalance, sedentary lifestyle, genetics, hormonal factors",Endocrinologist / Dietitian,"Calorie-controlled diet, regular physical activity, behavioral changes",,,,,,,,,,,,,,,,,,
Motion Sickness,Neurological,Non-Communicable,A disturbance of the inner ear caused by repeated motion,Conflict between senses (eyes vs. inner ear) regarding motion,General Physician,"Focus on the horizon, ginger, OTC pain relievers, acupressure bands",,,,,,,,,,,,,,,,,,
Sunburn,Dermatological,Non-Communicable,Skin damage caused by overexposure to ultraviolet (UV) rays,Conflict between senses (eyes vs. inner ear) regarding motion,Dermatologist,"Cool baths, aloe vera gel, hydration, moisturizers, avoid further sun",,,,,,,,,,,,,,,,,,
Dandruff,Dermatological,Non-Communicable,A common condition that causes the skin on the scalp to flake,"Malassezia (fungal-like yeast), oily skin, or sensitivity to hair products",Dermatologist,"Anti-dandruff shampoos (containing zinc or ketoconazole), tea tree oil",,,,,,,,,,,,,,,,,,
Anxiety Disorder,Psychological,Non-Communicable,"A mental health disorder characterized by feelings of worry, anxiety, or fear that are strong enough to interfere with one's daily activities. It involves more than temporary worry or fear; for people with an anxiety disorder, the anxiety does not go away and can get worse over time.","A combination of genetic, environmental, psychological, and developmental factors. Can be triggered by significant life stress, trauma, or imbalances in brain chemistry.",Psychiatrist,"Regular exercise, deep breathing exercises, mindfulness/meditation, avoiding caffeine and alcohol, and maintaining a consistent sleep schedule.If symptoms worsen,contact the doctor.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
