User Input Text (Features),Target_Disease (Label),,,,,,,,,,,,,,,,,,,,,,,,
"""Digestive problems and abdominal pain""",Taeniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of appetite and weight loss""",Taeniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Visible segments of the worm in stool""",Taeniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""I found flat, white ribbons in my poop""",Taeniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a dull ache in my stomach after eating""",Taeniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm losing weight even though I'm eating normally""",Taeniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel something moving in my intestines""",Taeniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have an upset stomach and feel very hungry""",Taeniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Dizziness and a general feeling of weakness""",Taeniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Anal itching and visible worm parts""",Taeniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea and occasional vomiting""",Taeniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent irritation in my gut""",Taeniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling lightheaded and poorly nourished""",Taeniasis,,,,,,,,,,,,,,,,,,,,,,,,
"""Flu-like symptoms such as fever, muscle aches""",Toxoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Swollen lymph nodes""",Toxoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Blurred vision or eye pain""",Toxoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Headache and confusion""",Toxoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a fever and my glands are very swollen""",Toxoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My muscles ache like I have the flu""",Toxoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My vision is blurry and my eyes are red""",Toxoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a persistent headache and I'm very tired""",Toxoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""""I’m pregnant and I’m worried about my cat’s litter box",Toxoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Generalized body weakness and light sensitivity""",Toxoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Aching in my neck and armpits""",Toxoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Seizures or coordination problems""",Toxoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Prolonged feeling of being unwell""",Toxoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Seizures and headaches""",Cysticercosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Confusion and balance problems""",Cysticercosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Lumps under the skin""",Cysticercosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Vision changes""",Cysticercosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I’ve started having seizures out of the blue""",Cysticercosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a pounding headache and feel very confused""",Cysticercosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I found a hard, painless lump under my skin""",Cysticercosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I’m having trouble walking straight and feel dizzy""",Cysticercosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My vision is getting dark or blurry in one eye""",Cysticercosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden changes in my personality or behavior""",Cysticercosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Muscle weakness and recurring headaches""",Cysticercosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Feeling of pressure inside my head""",Cysticercosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Nausea and vomiting accompanying a headache""",Cysticercosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Sensitivity to light and mental fogginess""",Cysticercosis,,,,,,,,,,,,,,,,,,,,,,,,
"""White patches on the tongue or inner cheeks""",Candidiasis (Thrush),,,,,,,,,,,,,,,,,,,,,,,,
"""Redness or soreness in the mouth""",Candidiasis (Thrush),,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty swallowing or 'cotton mouth' feeling""",Candidiasis (Thrush),,,,,,,,,,,,,,,,,,,,,,,,
"""Itching and discharge if vaginal""",Candidiasis (Thrush),,,,,,,,,,,,,,,,,,,,,,,,
"""My tongue looks like it's covered in cottage cheese""",Candidiasis (Thrush),,,,,,,,,,,,,,,,,,,,,,,,
"""It hurts to swallow and my mouth feels very dry""",Candidiasis (Thrush),,,,,,,,,,,,,,,,,,,,,,,,
"""I have white spots that bleed if I try to scrape them""",Candidiasis (Thrush),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a thick, white vaginal discharge and it's very itchy""",Candidiasis (Thrush),,,,,,,,,,,,,,,,,,,,,,,,
"""The corners of my mouth are cracked and sore""",Candidiasis (Thrush),,,,,,,,,,,,,,,,,,,,,,,,
"""My throat feels scratchy and irritated""",Candidiasis (Thrush),,,,,,,,,,,,,,,,,,,,,,,,
"""Red, itchy rash in the folds of my skin""",Candidiasis (Thrush),,,,,,,,,,,,,,,,,,,,,,,,
"""Burning sensation in my mouth and throat""",Candidiasis (Thrush),,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of taste and a weird feeling in my mouth""",Candidiasis (Thrush),,,,,,,,,,,,,,,,,,,,,,,,
"""Skin irritation under my breasts or in the groin""",Candidiasis (Thrush),,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and chills""",Aspergillosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",Aspergillosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Coughing up blood""",Aspergillosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a deep cough and it hurts when I breathe""",Aspergillosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been shivering with a fever and coughing up blood""",Aspergillosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm wheezing and can't seem to get enough air""",Aspergillosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My nose is stuffed up and my face hurts""",Aspergillosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very tired and have a persistent headache""",Aspergillosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Weight loss and a lingering chest infection""",Aspergillosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Night sweats and difficulty breathing""",Aspergillosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Dark shadows in my vision or eye pain""",Aspergillosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Skin sores that look like black spots""",Aspergillosis,,,,,,,,,,,,,,,,,,,,,,,,
"""General malaise and respiratory distress""",Aspergillosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Circular, red, itchy rash""","Tinea (Ringworm, Athlete's Foot)",,,,,,,,,,,,,,,,,,,,,,,,
"""Peeling or cracking skin between toes""","Tinea (Ringworm, Athlete's Foot)",,,,,,,,,,,,,,,,,,,,,,,,
"""Thickened, discolored nails""","Tinea (Ringworm, Athlete's Foot)",,,,,,,,,,,,,,,,,,,,,,,,
"""Scaly patches on the scalp""","Tinea (Ringworm, Athlete's Foot)",,,,,,,,,,,,,,,,,,,,,,,,
"""I have a red, ring-shaped rash on my arm""","Tinea (Ringworm, Athlete's Foot)",,,,,,,,,,,,,,,,,,,,,,,,
"""The skin between my toes is raw and peeling""","Tinea (Ringworm, Athlete's Foot)",,,,,,,,,,,,,,,,,,,,,,,,
"""My feet are incredibly itchy and burning""","Tinea (Ringworm, Athlete's Foot)",,,,,,,,,,,,,,,,,,,,,,,,
"""My toenails are turning yellow and getting thick""","Tinea (Ringworm, Athlete's Foot)",,,,,,,,,,,,,,,,,,,,,,,,
"""I have bald patches on my head with scaly skin""","Tinea (Ringworm, Athlete's Foot)",,,,,,,,,,,,,,,,,,,,,,,,
"""Small blisters on the soles of my feet""","Tinea (Ringworm, Athlete's Foot)",,,,,,,,,,,,,,,,,,,,,,,,
"""The rash is spreading and it's very scaly""","Tinea (Ringworm, Athlete's Foot)",,,,,,,,,,,,,,,,,,,,,,,,
"""Jock itch that is red and very uncomfortable""","Tinea (Ringworm, Athlete's Foot)",,,,,,,,,,,,,,,,,,,,,,,,
"""Fungal infection on my skin that is round and raised""","Tinea (Ringworm, Athlete's Foot)",,,,,,,,,,,,,,,,,,,,,,,,
"""Dry, flaky skin that doesn't go away with moisturizer""","Tinea (Ringworm, Athlete's Foot)",,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and cough""",Histoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest pain and fatigue""",Histoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Headache and body aches""",Histoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",Histoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel like I have a bad cold after being in a cave""",Histoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a dry cough and my chest feels heavy""",Histoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My joints and muscles are very sore""",Histoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a fever and a persistent headache""",Histoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I get winded very easily lately""",Histoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed some small red bumps on my shins""",Histoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Night sweats and a general feeling of exhaustion""",Histoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Weight loss and a lingering lung issue""",Histoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Vision changes or eye irritation""",Histoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Generalized weakness and shivering chills""",Histoplasmosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Cough and chest pain""",Cryptococcosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and headache""",Cryptococcosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Confusion or changes in behavior""",Cryptococcosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue and shortness of breath""",Cryptococcosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a stiff neck and a really bad headache""",Cryptococcosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel very confused and I'm having trouble staying awake""",Cryptococcosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been coughing and my chest feels very tight""",Cryptococcosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a fever and blurred vision""",Cryptococcosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel extremely tired and weak all over""",Cryptococcosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Night sweats and a persistent dry cough""",Cryptococcosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Sensitivity to light and mental fogginess""",Cryptococcosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have small, painless bumps on my skin""",Cryptococcosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Generalized body aches and respiratory distress""",Cryptococcosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Weight loss and feeling very ill""",Cryptococcosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Difficulty with balance and coordination""",Cryptococcosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Facial pain or pressure""",Sinusitis (Sinus Infection),,,,,,,,,,,,,,,,,,,,,,,,
"""Nasal congestion and ""stuffy"" nose""",Sinusitis (Sinus Infection),,,,,,,,,,,,,,,,,,,,,,,,
"""Thick yellow or green nasal discharge""",Sinusitis (Sinus Infection),,,,,,,,,,,,,,,,,,,,,,,,
"""Sore throat and postnasal drip""",Sinusitis (Sinus Infection),,,,,,,,,,,,,,,,,,,,,,,,
"""My face hurts, especially around my eyes and forehead""",Sinusitis (Sinus Infection),,,,,,,,,,,,,,,,,,,,,,,,
"""I can't breathe through my nose at all""",Sinusitis (Sinus Infection),,,,,,,,,,,,,,,,,,,,,,,,
"""I'm blowing thick, green mucus out of my nose""",Sinusitis (Sinus Infection),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a nagging cough that gets worse at night""",Sinusitis (Sinus Infection),,,,,,,,,,,,,,,,,,,,,,,,
"""My breath smells bad and I've lost my sense of smell""",Sinusitis (Sinus Infection),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a dull ache in my upper teeth""",Sinusitis (Sinus Infection),,,,,,,,,,,,,,,,,,,,,,,,
"""My ears feel plugged and I have a headache""",Sinusitis (Sinus Infection),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a lot of pressure when I lean forward""",Sinusitis (Sinus Infection),,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent fatigue and a low-grade fever""",Sinusitis (Sinus Infection),,,,,,,,,,,,,,,,,,,,,,,,
"""Throat irritation from mucus dripping down the back""",Sinusitis (Sinus Infection),,,,,,,,,,,,,,,,,,,,,,,,
"""Pain and tenderness over my cheekbones""",Sinusitis (Sinus Infection),,,,,,,,,,,,,,,,,,,,,,,,
"""Runny or stuffy nose""",Common Cold,,,,,,,,,,,,,,,,,,,,,,,,
"""Sore throat and sneezing""",Common Cold,,,,,,,,,,,,,,,,,,,,,,,,
"""Cough and mild headache""",Common Cold,,,,,,,,,,,,,,,,,,,,,,,,
"""Low-grade fever and body aches""",Common Cold,,,,,,,,,,,,,,,,,,,,,,,,
"""I've been sneezing non-stop and my nose is running""",Common Cold,,,,,,,,,,,,,,,,,,,,,,,,
"""My throat feels scratchy and it's hard to swallow""",Common Cold,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a mild cough and I'm feeling a bit congested""",Common Cold,,,,,,,,,,,,,,,,,,,,,,,,
"""My eyes are watery and I feel slightly achy""",Common Cold,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a stuffed-up nose and I've lost my sense of taste""",Common Cold,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a bit run down but I don't have a high fever""",Common Cold,,,,,,,,,,,,,,,,,,,,,,,,
"""Pressure in my ears and a persistent sniffle""",Common Cold,,,,,,,,,,,,,,,,,,,,,,,,
"""My chest feels a little tight from coughing""",Common Cold,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm clearing my throat constantly""",Common Cold,,,,,,,,,,,,,,,,,,,,,,,,
"""General malaise and feeling 'under the weather'""",Common Cold,,,,,,,,,,,,,,,,,,,,,,,,
"""A scratchy feeling in the back of my nose""",Common Cold,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm clearing my throat constantly""",Common Cold,,,,,,,,,,,,,,,,,,,,,,,,
"""Swollen, red tonsils""",Tonsillitis,,,,,,,,,,,,,,,,,,,,,,,,
"""White or yellow patches on the tonsils""",Tonsillitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Sore throat and painful swallowing""",Tonsillitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and swollen lymph nodes in the neck""",Tonsillitis,,,,,,,,,,,,,,,,,,,,,,,,
"""My throat is so sore I can barely drink water""",Tonsillitis,,,,,,,,,,,,,,,,,,,,,,,,
"""The glands in my neck are swollen and tender""",Tonsillitis,,,,,,,,,,,,,,,,,,,,,,,,
"""I looked in the mirror and my tonsils have white spots""",Tonsillitis,,,,,,,,,,,,,,,,,,,,,,,,
"""My voice sounds muffled or 'scratchy'""",Tonsillitis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have bad breath and a stiff neck""",Tonsillitis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a headache and a high temperature""",Tonsillitis,,,,,,,,,,,,,,,,,,,,,,,,
"""It hurts to open my mouth wide""",Tonsillitis,,,,,,,,,,,,,,,,,,,,,,,,
"""My child is drooling because it hurts to swallow""",Tonsillitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent earache along with a sore throat""",Tonsillitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Loss of appetite because of throat pain""",Tonsillitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Snoring or mouth breathing due to enlarged tonsils""",Tonsillitis,,,,,,,,,,,,,,,,,,,,,,,,
"""Intense itching, especially at night""",Skin Infestations (Scabies/Lice),,,,,,,,,,,,,,,,,,,,,,,,
"""Thin, irregular burrow tracks made of tiny blisters""",Skin Infestations (Scabies/Lice),,,,,,,,,,,,,,,,,,,,,,,,
"""Red bumps or sores from scratching""",Skin Infestations (Scabies/Lice),,,,,,,,,,,,,,,,,,,,,,,,
"""Visible lice or nits or eggs in hair""",Skin Infestations (Scabies/Lice),,,,,,,,,,,,,,,,,,,,,,,,
"""I am itching like crazy, especially in between my fingers""",Skin Infestations (Scabies/Lice),,,,,,,,,,,,,,,,,,,,,,,,
"""The itching gets so much worse as soon as I get into bed""",Skin Infestations (Scabies/Lice),,,,,,,,,,,,,,,,,,,,,,,,
"""I found tiny white eggs glued to my hair strands""",Skin Infestations (Scabies/Lice),,,,,,,,,,,,,,,,,,,,,,,,
"""My scalp is extremely itchy and I see bugs crawling""",Skin Infestations (Scabies/Lice),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a rash in the folds of my skin and around my waist""",Skin Infestations (Scabies/Lice),,,,,,,,,,,,,,,,,,,,,,,,
"""There are crusty sores on my skin from all the scratching""",Skin Infestations (Scabies/Lice),,,,,,,,,,,,,,,,,,,,,,,,
"""I see tiny red bite marks on my neck and shoulders""",Skin Infestations (Scabies/Lice),,,,,,,,,,,,,,,,,,,,,,,,
"""Irritability and trouble sleeping due to constant itching""",Skin Infestations (Scabies/Lice),,,,,,,,,,,,,,,,,,,,,,,,
"""Pimply rash on the wrists and elbows""",Skin Infestations (Scabies/Lice),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel like something is crawling on my skin""",Skin Infestations (Scabies/Lice),,,,,,,,,,,,,,,,,,,,,,,,
"""Black specks on my pillow or clothing""",Skin Infestations (Scabies/Lice),,,,,,,,,,,,,,,,,,,,,,,,
"""Painful rash that develops into blisters""",Shingles (Herpes Zoster),,,,,,,,,,,,,,,,,,,,,,,,
"""Burning, tingling, or numbness in a specific area""",Shingles (Herpes Zoster),,,,,,,,,,,,,,,,,,,,,,,,
"""Sensitivity to touch""",Shingles (Herpes Zoster),,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and headache""",Shingles (Herpes Zoster),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a band of painful blisters on one side of my torso""",Shingles (Herpes Zoster),,,,,,,,,,,,,,,,,,,,,,,,
"""The skin on my back feels like it's burning or electric""",Shingles (Herpes Zoster),,,,,,,,,,,,,,,,,,,,,,,,
"""Even the weight of my shirt hurts my skin""",Shingles (Herpes Zoster),,,,,,,,,,,,,,,,,,,,,,,,
"""I have a headache and I feel very tired""",Shingles (Herpes Zoster),,,,,,,,,,,,,,,,,,,,,,,,
"""The rash follows a line around my waist""",Shingles (Herpes Zoster),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a sharp, stabbing pain even before the rash appeared""",Shingles (Herpes Zoster),,,,,,,,,,,,,,,,,,,,,,,,
"""Fluid-filled bumps that are starting to crust over""",Shingles (Herpes Zoster),,,,,,,,,,,,,,,,,,,,,,,,
"""Itching and tingling in a small patch of skin""",Shingles (Herpes Zoster),,,,,,,,,,,,,,,,,,,,,,,,
"""Sensitivity to light and general malaise""",Shingles (Herpes Zoster),,,,,,,,,,,,,,,,,,,,,,,,
"""The pain is lingering even after the blisters healed""",Shingles (Herpes Zoster),,,,,,,,,,,,,,,,,,,,,,,,
"""Facial weakness or vision problems with a rash""",Shingles (Herpes Zoster),,,,,,,,,,,,,,,,,,,,,,,,
"""Redness in the white of the eye""",Conjunctivitis (Pink Eye),,,,,,,,,,,,,,,,,,,,,,,,
"""Itching or burning eyes""",Conjunctivitis (Pink Eye),,,,,,,,,,,,,,,,,,,,,,,,
"""Increased tearing""",Conjunctivitis (Pink Eye),,,,,,,,,,,,,,,,,,,,,,,,
"""Discharge that forms a crust during the night""",Conjunctivitis (Pink Eye),,,,,,,,,,,,,,,,,,,,,,,,
"""My eye is bright pink and feels very gritty""",Conjunctivitis (Pink Eye),,,,,,,,,,,,,,,,,,,,,,,,
"""I woke up and my eyelids were stuck together with crust""",Conjunctivitis (Pink Eye),,,,,,,,,,,,,,,,,,,,,,,,
"""My eyes are watering constantly and they itch""",Conjunctivitis (Pink Eye),,,,,,,,,,,,,,,,,,,,,,,,
"""My vision is a little blurry because of the discharge""",Conjunctivitis (Pink Eye),,,,,,,,,,,,,,,,,,,,,,,,
"""My eye feels swollen and looks very irritated""",Conjunctivitis (Pink Eye),,,,,,,,,,,,,,,,,,,,,,,,
"""Burning sensation and sensitivity to bright light""",Conjunctivitis (Pink Eye),,,,,,,,,,,,,,,,,,,,,,,,
"""Yellow or green drainage coming from my eye""",Conjunctivitis (Pink Eye),,,,,,,,,,,,,,,,,,,,,,,,
"""I feel like there is sand in my eye all the time""",Conjunctivitis (Pink Eye),,,,,,,,,,,,,,,,,,,,,,,,
"""Only one of my eyes is red and goopy""",Conjunctivitis (Pink Eye),,,,,,,,,,,,,,,,,,,,,,,,
"""Swollen lymph node in front of my ear""",Conjunctivitis (Pink Eye),,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent irritation and redness in both eyes""",Conjunctivitis (Pink Eye),,,,,,,,,,,,,,,,,,,,,,,,
"""Barking cough like a seal""",Croup,,,,,,,,,,,,,,,,,,,,,,,,
"""Hoarseness""",Croup,,,,,,,,,,,,,,,,,,,,,,,,
"""Labored or noisy breathing""",Croup,,,,,,,,,,,,,,,,,,,,,,,,
"""Fever and runny nose""",Croup,,,,,,,,,,,,,,,,,,,,,,,,
"""My child has a cough that sounds like a seal barking""",Croup,,,,,,,,,,,,,,,,,,,,,,,,
"""I hear a high-pitched whistling sound when my baby inhales""",Croup,,,,,,,,,,,,,,,,,,,,,,,,
"""The cough gets much worse at night or when they cry""",Croup,,,,,,,,,,,,,,,,,,,,,,,,
"""My toddler's voice is very raspy and hoarse""",Croup,,,,,,,,,,,,,,,,,,,,,,,,
"""They are struggling to take deep breaths""",Croup,,,,,,,,,,,,,,,,,,,,,,,,
"""It started with a normal cold but the cough turned scary""",Croup,,,,,,,,,,,,,,,,,,,,,,,,
"""Agitation and restlessness due to difficulty breathing""",Croup,,,,,,,,,,,,,,,,,,,,,,,,
"""Skin pulling in around the ribs during breathing""",Croup,,,,,,,,,,,,,,,,,,,,,,,,
"""Rapid heart rate and a low-grade fever""",Croup,,,,,,,,,,,,,,,,,,,,,,,,
"""The cough sounds very tight and metallic""",Croup,,,,,,,,,,,,,,,,,,,,,,,,
"""Better breathing when exposed to cool night air""",Croup,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath""",Cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,
"""Swelling of the legs, ankles, and feet""",Cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,
"""Bloating of the abdomen""",Cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue and rapid heartbeat""",Cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,
"""I get out of breath just by walking around the house""",Cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,
"""My legs and feet are so swollen I can't put my shoes on""",Cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a fluttering or pounding in my chest""",Cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,
"""I can't lie flat in bed without feeling like I'm suffocating""",Cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel dizzy and lightheaded, especially when I'm active""",Cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,
"""My stomach feels very bloated and heavy""",Cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm extremely tired all the time""",Cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest pain or pressure during physical exertion""",Cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,
"""Fainting spells or near-fainting""",Cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent cough, especially when lying down""",Cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,
"""Irregular pulse and general weakness""",Cardiomyopathy,,,,,,,,,,,,,,,,,,,,,,,,
"""Often no symptoms until a blockage occurs""",Atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest pain or angina""",Atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Sudden weakness or numbness if in brain arteries""",Atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Leg pain when walking or claudication""",Atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a cramping pain in my calves when I walk""",Atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,
"""The pain in my legs goes away as soon as I sit down""",Atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel a squeezing pressure in my chest when I'm stressed""",Atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I've noticed my sores on my feet are healing very slowly""",Atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,
"""My hands and feet feel cold and sometimes numb""",Atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,
"""I have a bruits or 'whooshing' sound in my ears""",Atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Erectile dysfunction or problems with blood flow""",Atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,
"""High blood pressure that won't go down""",Atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath and early fatigue""",Atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Transient vision loss or slurred speech""",Atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Dull ache in the arms or jaw""",Atherosclerosis,,,,,,,,,,,,,,,,,,,,,,,,
"""Shortness of breath or dyspnea, especially when lying down""",Congestive Heart Failure,,,,,,,,,,,,,,,,,,,,,,,,
"""Fatigue and weakness""",Congestive Heart Failure,,,,,,,,,,,,,,,,,,,,,,,,
"""Swelling or edema in legs, ankles, and feet""",Congestive Heart Failure,,,,,,,,,,,,,,,,,,,,,,,,
"""Rapid or irregular heartbeat""",Congestive Heart Failure,,,,,,,,,,,,,,,,,,,,,,,,
"""Reduced ability to exercise""",Congestive Heart Failure,,,,,,,,,,,,,,,,,,,,,,,,
"""Persistent cough or wheezing with white or pink phlegm""",Congestive Heart Failure,,,,,,,,,,,,,,,,,,,,,,,,
"""I have to prop myself up with three pillows just to breathe at night""",Congestive Heart Failure,,,,,,,,,,,,,,,,,,,,,,,,
"""My legs are so swollen that the skin looks shiny and tight""",Congestive Heart Failure,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel like I'm drowning when I lie flat on my back""",Congestive Heart Failure,,,,,,,,,,,,,,,,,,,,,,,,
"""""I've gained weight suddenly, but it feels like fluid, not fat",Congestive Heart Failure,,,,,,,,,,,,,,,,,,,,,,,,
"""I get exhausted just walking from the bed to the bathroom""",Congestive Heart Failure,,,,,,,,,,,,,,,,,,,,,,,,
"""My heart feels like it's fluttering or thumping in my chest""",Congestive Heart Failure,,,,,,,,,,,,,,,,,,,,,,,,
"""I'm coughing up a frothy, pinkish spit""",Congestive Heart Failure,,,,,,,,,,,,,,,,,,,,,,,,
"""I feel bloated and have a very poor appetite lately""",Congestive Heart Failure,,,,,,,,,,,,,,,,,,,,,,,,
"""I have to catch my breath frequently while talking""",Congestive Heart Failure,,,,,,,,,,,,,,,,,,,,,,,,
"""Chest pain""",Myocarditis,,,,,,,,,,,,,,,,,,,,,,,,
"""Rapid or irregular heartbeat or arrhythmias""",Myocarditis,,,,,,,,,,,,,,,,,,,,,,,,
